Name,Frequency
Abigail,0.00962434
Ada,0.000931388
Addison,0.001707544
Adelaide,0.001474697
Adele,0.001862776
Adelina,0.000853772
Adeline,0.000931388
Adina,0.001707544
Adriana,0.00178516
Adrianna,0.000776156
Ahuva,0.001707544
Aisha,0.001009003
Alessandra,0.001397082
Alessia,0.001552313
Alexa,0.002871779
Alexandra,0.006519714
Alexis,0.00178516
Alice,0.004346476
Alina,0.001474697
Alisa,0.001009003
Aliza,0.001319466
Allison,0.001086619
Alma,0.000853772
Alyssa,0.002794163
Amanda,0.000776156
Amelia,0.005665942
Amelie,0.000776156
Amina,0.002095622
Amira,0.001474697
Ana,0.000853772
Anastasia,0.002018007
Angelica,0.000931388
Angelina,0.00357032
Anisa,0.001086619
Anna,0.007373486
Annabelle,0.002018007
Anne,0.000776156
Antonia,0.001319466
Aria,0.003492704
Ariana,0.003182242
Arianna,0.002406085
Ariel,0.001009003
Ariella,0.002483701
Ashley,0.001086619
Atara,0.001009003
Athena,0.000776156
Audrey,0.002561316
Aurora,0.001474697
Ava,0.011331885
Avery,0.005122633
Avigail,0.000931388
Avital,0.000776156
Aviva,0.001086619
Aya,0.001086619
Ayala,0.000776156
Ayla,0.001397082
Aziza,0.000853772
Baila,0.00302701
Barbara,0.000776156
Batsheva,0.002483701
Beatrice,0.003415088
Bella,0.002561316
Bianca,0.001164235
Blake,0.000853772
Blima,0.002250854
Blimy,0.002095622
Bracha,0.001707544
Brianna,0.00124185
Bridget,0.000853772
Brielle,0.000931388
Brooke,0.002561316
Brucha,0.001009003
Bruchy,0.001319466
Brynn,0.000776156
Caitlin,0.000853772
Camila,0.000776156
Camilla,0.001319466
Camille,0.000853772
Carly,0.000776156
Carolina,0.001009003
Caroline,0.003492704
Cassidy,0.000776156
Catherine,0.002871779
Cecelia,0.000853772
Cecilia,0.001862776
Celia,0.000776156
Celine,0.000776156
Chana,0.011099038
Chany,0.002561316
Charlie,0.001552313
Charlotte,0.010322881
Chava,0.00302701
Chavy,0.001009003
Chaya,0.015057436
Chloe,0.006286867
Christina,0.000853772
Claire,0.003337473
Clara,0.002794163
Clementine,0.000853772
Colette,0.001164235
Cora,0.001474697
Dahlia,0.001009003
Daniella,0.00178516
Danielle,0.00178516
Daphne,0.00124185
Delilah,0.000776156
Devora,0.00178516
Devorah,0.003647935
Diana,0.001940391
Dina,0.002173238
Dylan,0.002561316
Eden,0.001086619
Eleanor,0.005045017
Elena,0.002095622
Eleni,0.000776156
Eliana,0.003803167
Elisheva,0.000931388
Eliza,0.001629929
Elizabeth,0.00783918
Ella,0.008692952
Elle,0.001862776
Ellie,0.002406085
Eloise,0.003259857
Elsa,0.001009003
Emerson,0.001319466
Emilia,0.004191245
Emily,0.011099038
Emma,0.015911208
Emmeline,0.000853772
Erin,0.000776156
Esme,0.001086619
Ester,0.000776156
Esther,0.018084446
Esty,0.001707544
Etty,0.001397082
Eva,0.005743558
Evangeline,0.000853772
Eve,0.001397082
Evelyn,0.004967401
Everly,0.001086619
Evie,0.000931388
Faiga,0.001862776
Faigy,0.005743558
Fatima,0.000853772
Fiona,0.002794163
Fradel,0.000853772
Frady,0.001086619
Fraidy,0.002250854
Frances,0.001707544
Francesca,0.00302701
Frimet,0.000931388
Gabriela,0.001009003
Gabriella,0.007218255
Gabrielle,0.001164235
Gemma,0.001319466
Genevieve,0.00178516
Georgia,0.002018007
Gia,0.001319466
Gianna,0.002949395
Giovanna,0.001009003
Giselle,0.000931388
Gitty,0.005277864
Giuliana,0.00178516
Golda,0.001397082
Goldie,0.000853772
Goldy,0.001319466
Grace,0.006674946
Hadassah,0.001009003
Hadley,0.001474697
Hailey,0.001707544
Hana,0.000931388
Hanna,0.001319466
Hannah,0.004967401
Harlow,0.000853772
Harper,0.003182242
Hazel,0.001862776
Helen,0.001319466
Helena,0.001319466
Henchy,0.001552313
Henny,0.001397082
Hinda,0.000776156
Hindy,0.002638932
Iris,0.001086619
Isabel,0.002328469
Isabella,0.009081031
Isabelle,0.002018007
Isla,0.002406085
Ivy,0.001552313
Jacqueline,0.00124185
Jana,0.000776156
Jane,0.001940391
Jasmina,0.000853772
Jasmine,0.001474697
Jenna,0.00178516
Jessica,0.001086619
Jordyn,0.000853772
Josephine,0.00302701
Julia,0.006519714
Juliana,0.002328469
Julianna,0.001319466
Julie,0.001086619
Juliet,0.002406085
Juliette,0.002483701
June,0.001009003
Juniper,0.001086619
Kaitlyn,0.000776156
Kate,0.001319466
Katherine,0.003259857
Kayla,0.003259857
Kaylee,0.001164235
Keira,0.001009003
Kennedy,0.000776156
Khloe,0.000853772
Kira,0.001009003
Kylie,0.001009003
Laila,0.00178516
Lana,0.001009003
Lara,0.001319466
Laura,0.001707544
Lauren,0.002561316
Layan,0.001009003
Layla,0.004268861
Lea,0.002328469
Leah,0.015988823
Leila,0.001086619
Lena,0.002173238
Leora,0.000776156
Lia,0.000931388
Liana,0.001164235
Liba,0.00178516
Libby,0.002328469
Lila,0.003259857
Lilah,0.000853772
Lilian,0.000776156
Liliana,0.001707544
Lillian,0.003104626
Lilly,0.00124185
Lily,0.006830177
Lina,0.001009003
Linda,0.000776156
Liv,0.00124185
Livia,0.001009003
Lola,0.001552313
Louisa,0.000931388
Lucia,0.002250854
Lucy,0.004501708
Luna,0.00124185
Lydia,0.001086619
Lyla,0.001474697
Mackenzie,0.002018007
Madeleine,0.002716548
Madeline,0.004579323
Madelyn,0.001862776
Madison,0.005277864
Mae,0.000853772
Maeve,0.002328469
Maisie,0.001086619
Malak,0.001086619
Malka,0.006519714
Malky,0.005433095
Margaret,0.002561316
Margot,0.001474697
Maria,0.003492704
Mariam,0.001474697
Marielle,0.000853772
Mary,0.002173238
Maryam,0.00178516
Matilda,0.001397082
Maya,0.008227259
Melanie,0.001009003
Menucha,0.001009003
Mia,0.010788575
Michaela,0.001009003
Michelle,0.00178516
Mikayla,0.001164235
Mila,0.00481217
Milana,0.001474697
Mina,0.000931388
Mindy,0.002250854
Mira,0.001319466
Mirel,0.001164235
Miriam,0.011099038
Molly,0.002095622
Morgan,0.001086619
Mushka,0.000931388
Nadia,0.001009003
Naomi,0.003803167
Natalia,0.001009003
Natalie,0.003415088
Nechama,0.002328469
Nicole,0.003182242
Nina,0.003182242
Noa,0.002173238
Noelle,0.001009003
Noor,0.001164235
Nora,0.005433095
Olive,0.001474697
Olivia,0.019248681
Paige,0.001707544
Parker,0.001319466
Pearl,0.00178516
Penelope,0.004889786
Perel,0.001474697
Perl,0.001319466
Perry,0.001009003
Pessy,0.002328469
Peyton,0.001164235
Phoebe,0.002095622
Piper,0.001474697
Poppy,0.001086619
Quinn,0.002018007
Rachel,0.017696368
Raizel,0.001164235
Raizy,0.006519714
Rebecca,0.003337473
Reese,0.001707544
Reizy,0.000776156
Rena,0.000853772
Rifky,0.000853772
Riley,0.002406085
Rivka,0.007761565
Rivky,0.004036014
Rochel,0.002406085
Roizy,0.001009003
Rosa,0.000776156
Rose,0.004268861
Rowan,0.000776156
Ruby,0.003725551
Ruchel,0.000776156
Ruchy,0.001319466
Ruth,0.000853772
Sabrina,0.001940391
Sadie,0.003337473
Salma,0.000776156
Samantha,0.004424092
Samira,0.000776156
Sara,0.009391493
Sarah,0.014358895
Sasha,0.000931388
Savannah,0.001940391
Scarlett,0.003104626
Serena,0.00124185
Shaina,0.001009003
Shaindel,0.001164235
Shaindy,0.004268861
Shayna,0.000931388
Shifra,0.001629929
Shira,0.001862776
Shoshana,0.001474697
Siena,0.00124185
Sienna,0.003415088
Sima,0.001086619
Simone,0.001707544
Skylar,0.001319466
Sloane,0.001940391
Sofia,0.008537721
Sophia,0.013349891
Sophie,0.004346476
Stella,0.00605402
Summer,0.001009003
Suri,0.001009003
Sury,0.002406085
Sydney,0.00178516
Sylvia,0.00124185
Sylvie,0.000776156
Talia,0.003803167
Tamar,0.000931388
Taylor,0.001862776
Tess,0.000853772
Tessa,0.001009003
Thea,0.000853772
Toby,0.00357032
Trany,0.000931388
Tzipora,0.001086619
Tziporah,0.000931388
Valentina,0.003492704
Vera,0.000931388
Veronica,0.001397082
Victoria,0.006442099
Violet,0.003803167
Vivian,0.004734554
Vivienne,0.002794163
Willa,0.002018007
Yael,0.00124185
Yasmina,0.000853772
Yasmine,0.000931388
Yehudis,0.001940391
Yides,0.002018007
Yitty,0.004579323
Yocheved,0.002173238
Zelda,0.000931388
Zissy,0.001940391
Zoe,0.007451102
Zoey,0.002018007